pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
HD 77946 b,2.89646124,10.9,1128.86,0.073,413.1008,6007.0,1.3174,1.1973,0.215,2.44
Kepler-1991 b,1.47,2.76,760.0,0.1065,78.79,5478.0,1.053,0.914,0.16,4.77
K2-373 b,2.061,4.9,,,,6138.0,1.486,1.158,0.049,3.08
TOI-1136 d,4.627,8.35,843.0,0.1062,626.362,5770.0,0.968,1.022,0.07,1.81
TOI-2989 b,12.55405838,953.485221,1001.0,0.0384,124.0,4672.0,0.76,0.77,-0.04,2.7
Kepler-963 c,0.6,0.156,,,,5169.47,0.928,0.821,-0.02,3.97
KMT-2022-BLG-0440L b,4.05,15.4,,1.9,,,,0.53,,1.27
HIP 116454 b,2.469,9.7,753.2,0.0792,51.2858,5048.0,0.758,0.8,0.0,3.53
TOI-1136 c,2.879,6.32,1062.0,0.0669,232.392,5770.0,0.968,1.022,0.07,1.45
Kepler-1487 c,7.97,48.7,991.0,0.2588,227.68,5745.0,3.955,1.801,0.4,0.529
Kepler-1990 b,3.27,10.7,1554.0,0.0286,1372.87,5751.0,1.071,1.028,0.21,1.68
TOI-5803 b,3.2732,10.7,678.87,,73.722,5134.0,0.7625,0.87,,1.68
TOI-969 b,2.765,9.1,941.0,0.02636,188.0,4435.0,0.671,0.734,0.175,2.34
K2-415 b,1.015,7.5,412.4,0.027,4.82,3173.0,0.1965,0.1635,-0.13,
K2-406 b,4.602,19.2,,,,5784.0,0.961,0.798,-0.038,1.08
TOI-4734 b,10.9175472,61.65871096,1468.0,0.074,775.0,6070.0,1.857,1.391,0.288,0.26
TYC 2187-512-1 b,12.5,104.88337431,,1.22,,3734.0,0.495,0.498,0.08,0.295
HD 221420 b,12.0,7278.2705203,,10.15,,5847.0,1.947,1.351,0.33,23.1
HD 109833 b,2.888,8.69,786.0,,63.4589,5881.0,1.0,1.08,-0.07,1.98
K2-381 d,1.689,3.5,,,,4473.0,0.675,0.754,-0.244,3.99
WASP-102 b,14.90794433,197.68926915,1671.0,0.041,1293.0,5990.0,1.375,1.08,-0.2,0.32
TOI-2015 b,3.309,9.2,530.9,0.029322,13.185,3297.0,0.3273,0.3041,-0.31,1.4
gam Psc b,13.6,425.89006538,,1.32,,4742.0,11.2,0.99,-0.62,0.93
HIP 99770 b,12.2,5403.082919,,15.8,,8000.0,1.93986,1.9,,16.4
HAT-P-53 b,14.773462,471.65972,1778.0,0.03159,1400.0226,5956.0,1.209,1.093,0.0,0.8
TOI-411 c,2.328,9.72,931.0,0.1017,156.75,6169.0,1.117,1.098,-0.08,3.15
TOI-1758 b,3.62,6.9,551.44,0.141409,21.05,5169.0,0.81,0.88,-0.02,0.83
TOI-700 d,1.073,1.25,268.8,0.1633,0.85,3459.0,0.421,0.415,-0.07,5.56
TOI-1467 b,1.92,9.0,506.07,0.050748,18.13,3834.0,0.491,0.489,-0.062,11.0
RR Cae b,13.0,1334.886,,5.3,,3904.0,0.193119,0.44,,3.34
TOI-2136 b,2.19,6.37,395.0,0.057,4.0,3342.0,0.34,0.34,0.03,3.34
WISPIT 1 b,12.4,3305.4154328,,338.0,,4670.0,1.1161,0.72,,9.53
TIC 279401253 c,12.6,2548.98382414,,0.591,,5951.0,1.06,1.13,0.2,7.0
Kepler-1181 c,1.83,4.01,1124.0,0.0928,377.25,6688.0,1.347,1.336,0.07,3.6
TOI-1135 b,9.91994792,58.79825529,1171.0,0.0815,310.0,6320.0,1.202,1.119,-0.039,0.15
TOI-5340 b,15.07607904,270.15414595,1566.0,0.0628,1004.0,5990.0,1.842,1.35,0.208,0.43
Kepler-454 c,12.9,1433.40611557,,1.287,,5687.0,1.066,1.03,0.32,3.67
TOI-836 b,1.704,4.53,871.0,0.0422,78.838,4552.0,0.665,0.678,-0.284,5.02
HD 11506 d,12.3,4068.2036096,,18.2,,6123.0,1.24,1.22,0.3,12.0
